Iteration	L1	L1 %	L2	L2 %	KL Divergence
433	913.114	55.516	177.753	48.552	0.426
434	902.075	55.115	174.677	47.946	0.419
435	898.424	55.131	172.422	47.514	0.417
436	895.724	54.257	172.477	47.17	0.402
437	901.473	55.728	175.59	48.149	0.425
438	893.718	54.608	175.792	47.579	0.407
439	900.632	54.465	176.451	47.657	0.416
440	899.578	55.213	177.169	48.412	0.421
441	898.073	56.667	177.04	48.472	0.455
442	890.605	54.766	172.764	47.826	0.409
443	915.046	55.485	179.1	48.019	0.42
444	909.989	55.406	174.497	47.853	0.421
445	906.791	55.156	175.709	48.15	0.428
446	912.335	55.409	177.471	48.332	0.415
447	902.225	55.215	175.322	47.71	0.414
448	899.534	55.608	175.655	48.23	0.418
449	907.206	55.081	176.179	47.918	0.417
450	891.592	55.573	172.906	47.822	0.426
451	894.108	55.918	174.141	48.368	0.43
452	902.35	55.477	175.604	47.93	0.423
453	900.64	55.984	173.377	48.114	0.423
454	904.713	55.015	178.262	47.899	0.43
455	896.297	55.772	173.25	48.193	0.431
456	909.856	56.285	175.891	48.165	0.432
457	893.155	55.578	170.935	47.978	0.424
458	895.171	56.08	173.531	48.603	0.439
459	902.632	54.892	174.38	48.096	0.423
460	916.049	55.872	177.37	48.375	0.442
461	906.716	55.302	175.34	47.937	0.415
462	901.834	55.52	174.943	47.846	0.431
463	903.161	55.81	175.578	48.136	0.438
464	910.008	55.374	174.854	48.088	0.423
465	897.143	54.971	176.904	48.152	0.427
466	905.275	55.235	175.896	48.28	0.428
467	897.529	54.58	174.18	47.623	0.408
468	909.426	55.869	178.737	48.764	0.434
469	906.437	55.868	176.014	48.212	0.417
470	904.632	55.211	175.187	47.737	0.416
471	894.703	54.741	173.818	47.733	0.421
472	903.028	55.152	175.821	47.842	0.427
473	903.521	55.583	175.402	48.16	0.431
474	904.616	55.582	177.646	48.34	0.423
475	913.3	55.14	180.048	48.591	0.413
476	908.405	56.536	177.835	48.672	0.443
477	896.047	55.071	173.422	47.699	0.414
478	902.361	56.047	177.812	48.32	0.441
479	890.099	54.626	171.288	47.807	0.417
480	906.661	55.046	176.283	48.104	0.414
481	915.842	55.149	179.199	47.79	0.413
482	898.378	55.486	176.82	48.194	0.421
483	905.905	54.926	177.028	47.804	0.411
484	905.037	55.596	175.811	48.448	0.421
485	917.64	55.395	178.597	47.97	0.421
486	911.739	55.896	177.789	48.643	0.426
487	900.914	54.919	172.575	48.008	0.429
488	897.15	55.166	175.702	48.073	0.427
489	897.223	55.061	175.692	48.215	0.405
490	899.155	55.996	174.914	48.555	0.435
491	901.841	56.331	177.351	48.584	0.443
492	919.209	55.53	179.007	48.242	0.422
493	901.745	55.382	175.208	48.554	0.427
494	912.842	55.793	178.346	48.773	0.424
495	898.563	54.531	173.988	47.692	0.402
496	913.352	55.518	177.462	48.141	0.413
497	908.258	56.381	176.174	48.641	0.434
498	905.108	55.897	176.016	48.386	0.428
499	907.936	54.925	177.579	48.037	0.416
500	898.96	54.529	174.0	47.919	0.411
501	917.273	55.618	179.295	48.076	0.421
502	906.352	55.388	178.971	48.032	0.423
503	896.134	55.261	172.521	47.948	0.423
504	893.105	55.87	175.207	48.005	0.425
505	894.751	55.143	173.021	47.942	0.415
506	899.283	54.964	175.02	47.44	0.417
507	899.312	55.257	174.664	48.349	0.42
508	911.272	55.618	178.943	48.491	0.439
509	906.29	55.091	175.127	47.751	0.407
510	900.233	55.273	174.932	48.332	0.412
511	906.802	55.913	176.694	48.163	0.436
512	897.272	55.417	174.095	47.999	0.429
513	902.476	55.979	175.094	47.951	0.438
514	901.974	55.393	177.5	48.247	0.422
515	900.298	55.427	177.051	48.139	0.421
516	913.998	56.351	176.945	48.162	0.443
517	887.937	54.776	173.265	47.95	0.416
518	897.266	55.972	174.745	48.326	0.432
519	899.592	55.651	176.075	48.525	0.43
520	903.495	54.76	175.622	47.663	0.419
521	898.084	54.993	173.909	47.791	0.438
522	901.778	55.037	175.014	47.898	0.414
523	899.711	55.591	174.729	48.085	0.43
524	905.127	55.875	175.883	48.349	0.421
525	903.81	55.943	175.883	48.183	0.427
526	889.017	54.654	170.763	47.32	0.426
527	908.938	55.314	177.801	48.09	0.429
528	905.589	55.208	174.696	47.712	0.413
529	890.054	55.408	172.242	48.058	0.422
530	897.006	55.125	175.95	48.201	0.423
531	908.976	55.713	176.285	47.974	0.42
532	899.475	54.801	176.494	48.176	0.415
533	896.142	54.859	172.388	47.591	0.412
534	898.929	55.213	174.899	47.93	0.416
535	906.821	55.704	175.408	48.18	0.427
536	890.698	55.587	174.794	47.983	0.431
537	894.258	54.876	174.248	47.553	0.411
538	907.915	55.849	175.111	48.075	0.423
539	900.037	55.361	176.179	48.217	0.423
540	897.292	55.342	174.228	48.192	0.423
541	908.196	55.426	176.601	48.133	0.418
542	897.876	54.993	172.491	47.855	0.421
543	898.769	55.217	172.551	48.115	0.415
544	891.136	55.346	172.322	47.644	0.425
545	898.784	54.873	176.127	47.939	0.427
546	890.531	54.742	173.156	47.697	0.418
547	896.993	54.926	172.829	47.862	0.413
548	896.817	55.027	173.516	48.073	0.421
549	901.511	55.468	174.701	48.009	0.423
550	905.089	56.074	176.736	48.355	0.435
551	900.111	54.84	175.06	48.067	0.421
552	910.534	56.151	177.284	48.638	0.43
553	905.61	56.435	175.948	48.214	0.444
554	909.221	55.707	176.71	48.28	0.418
555	905.415	55.528	175.702	48.031	0.432
556	902.327	55.7	178.171	48.333	0.434
557	890.68	55.178	172.53	47.613	0.418
558	908.251	55.747	176.798	48.521	0.419
559	896.156	54.664	174.117	48.238	0.404
560	915.476	56.268	181.553	49.129	0.436
561	904.233	55.608	175.898	48.147	0.43
562	904.223	56.108	177.089	48.556	0.426
563	906.843	54.901	174.163	47.949	0.416
564	895.789	55.007	174.227	48.014	0.417
565	905.607	55.626	176.265	48.571	0.419
566	901.593	54.768	176.513	47.686	0.406
567	900.039	55.294	174.519	48.301	0.431
568	905.931	55.556	175.154	47.916	0.441
569	904.727	55.912	175.045	48.333	0.434
570	895.511	55.301	173.079	47.713	0.429
571	912.099	56.021	175.846	48.64	0.427
572	905.491	55.19	178.334	48.059	0.423
573	905.156	55.557	176.596	48.248	0.425
574	903.635	56.162	176.12	48.257	0.427
575	910.508	55.065	177.131	47.846	0.412
576	910.345	55.721	178.305	48.098	0.423
577	902.416	55.078	174.731	48.073	0.426
578	894.669	55.33	173.042	48.057	0.43
579	893.943	55.131	174.371	48.026	0.42
580	897.713	54.537	175.099	47.919	0.426
581	905.963	56.254	175.8	48.3	0.44
582	906.33	55.924	176.414	48.616	0.432
583	903.191	56.043	174.887	48.036	0.425
584	901.765	55.697	174.303	48.333	0.421
585	910.646	56.021	177.056	48.308	0.43
586	903.965	54.991	174.335	47.59	0.404
587	908.879	55.401	175.408	48.195	0.422
588	895.419	54.865	173.837	48.123	0.422
589	897.144	55.237	174.135	47.602	0.425
590	907.644	55.184	175.378	47.893	0.415
591	897.665	55.541	174.099	48.116	0.428
592	902.908	55.29	175.907	48.226	0.427
593	906.881	55.214	176.659	48.039	0.429
594	904.951	55.656	174.804	47.928	0.428
595	901.73	55.916	175.237	48.354	0.427
596	898.949	55.002	173.957	47.395	0.427
597	888.87	55.735	174.366	48.278	0.429
598	901.803	55.302	176.786	48.357	0.424
599	904.153	55.699	174.963	48.172	0.428
600	900.943	54.753	174.421	47.389	0.416
601	892.916	56.3	175.825	48.472	0.425
602	895.709	55.181	175.006	47.883	0.411
603	915.76	55.945	178.456	48.396	0.437
604	902.01	54.897	176.368	48.22	0.415
605	899.89	55.24	179.114	48.242	0.425
606	906.28	54.986	175.995	47.948	0.419
607	917.303	56.356	178.515	48.769	0.425
608	902.328	54.597	174.653	47.593	0.411
609	905.731	55.175	176.277	47.949	0.416
610	900.863	55.178	175.103	47.874	0.427
611	893.777	55.253	173.328	47.861	0.422
612	898.82	55.219	173.209	47.888	0.419
613	907.46	55.723	176.176	48.451	0.429
614	896.854	55.835	173.652	48.468	0.426
615	892.02	54.847	173.784	47.751	0.421
616	898.895	56.162	174.102	48.24	0.431
617	902.983	55.023	175.789	48.17	0.416
618	899.229	55.5	173.679	47.433	0.426
619	905.512	55.481	174.864	47.814	0.415
620	905.455	55.061	175.847	47.925	0.422
621	897.688	55.177	172.585	47.959	0.42
622	903.073	55.898	176.727	48.361	0.441
623	904.095	55.178	177.241	48.225	0.43
624	897.531	55.304	175.146	48.03	0.419
625	918.632	56.32	176.044	48.078	0.429
626	905.477	55.363	173.477	47.696	0.424
627	895.359	55.16	171.659	47.779	0.423
628	907.913	55.536	176.129	48.209	0.43
629	899.716	55.214	173.745	47.909	0.419
630	901.082	55.497	176.189	48.195	0.429
631	897.252	55.84	174.06	48.23	0.432
