Iteration	L1	L1 %	L2	L2 %	KL Divergence
550	10.177	78.069	3.286	50.796	0.701
551	12.101	79.914	3.672	50.294	0.724
552	12.087	75.121	3.744	49.252	0.664
553	8.647	71.681	2.687	47.295	0.7
554	10.766	75.594	3.184	49.345	0.698
555	10.415	76.057	3.115	49.05	0.729
556	10.673	83.081	3.316	52.806	0.792
557	12.408	85.493	3.804	53.17	0.798
558	9.939	74.131	3.07	47.377	0.667
559	10.661	77.675	3.206	49.683	0.711
560	10.645	67.998	3.157	45.226	0.608
561	10.048	75.283	3.072	48.29	0.72
562	10.36	80.01	3.235	54.032	0.765
563	10.913	78.783	3.252	50.597	0.719
564	9.896	82.14	3.103	52.115	0.798
565	11.354	77.602	3.412	52.413	0.677
566	10.747	76.893	3.213	50.601	0.669
567	12.267	81.842	3.622	54.13	0.74
568	10.402	77.218	3.196	50.119	0.717
569	9.495	79.588	2.913	52.073	0.744
570	10.032	76.201	3.07	48.86	0.701
571	10.895	78.048	3.29	50.385	0.72
572	10.812	71.128	3.255	48.065	0.658
573	10.902	75.797	3.419	49.719	0.681
574	11.641	81.647	3.484	53.789	0.719
575	10.905	77.39	3.338	49.967	0.694
576	9.781	78.004	2.96	51.436	0.7
577	10.281	71.437	2.988	47.101	0.654
578	10.553	77.041	3.357	50.763	0.688
579	12.282	82.482	3.925	54.32	0.728
580	12.035	81.222	3.541	51.681	0.708
581	10.126	74.094	3.121	49.586	0.701
582	11.283	79.183	3.548	51.052	0.725
583	11.176	76.622	3.297	49.967	0.647
584	10.254	76.516	2.988	51.018	0.72
585	10.227	72.143	3.163	46.897	0.674
586	11.285	79.288	3.548	51.125	0.707
587	10.475	78.57	3.2	50.973	0.745
588	10.012	74.663	3.072	48.195	0.669
589	12.213	80.637	3.807	50.99	0.733
590	11.147	82.462	3.262	53.988	0.798
591	11.559	77.651	3.489	50.76	0.685
592	12.06	80.885	3.662	51.687	0.713
593	10.473	79.648	3.199	52.893	0.781
594	10.363	71.589	3.161	48.412	0.654
595	10.479	74.828	3.138	49.211	0.712
596	10.632	76.246	3.307	49.776	0.664
597	11.318	80.85	3.389	53.375	0.752
598	10.772	77.055	3.16	52.393	0.7
599	10.865	81.994	3.424	52.896	0.749
600	11.02	78.979	3.704	51.499	0.71
601	10.943	76.601	3.372	49.43	0.66
602	12.314	80.41	3.756	51.755	0.693
603	10.357	77.469	3.129	49.861	0.716
604	11.11	79.969	3.155	51.309	0.718
605	12.7	81.124	4.006	51.111	0.75
606	11.135	79.071	3.455	49.389	0.697
607	11.287	76.29	3.38	51.381	0.657
608	12.487	81.884	3.849	54.109	0.72
609	11.493	79.187	3.524	52.393	0.708
610	11.317	77.68	3.435	51.418	0.729
611	10.412	78.591	3.221	52.017	0.704
