MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:T:5	2.02E-03	2.35E-03	4.84E-03	4.86E-03	1.86E-03	3.75E-03	2.13E-03	3.60E-03	3.80E-03	1.63E-03	3.26E-03	2.76E-03
1:Ins:C:0	1.76E-04	2.17E-04	3.78E-04	4.08E-04	1.70E-04	3.96E-04	2.24E-04	3.89E-04	2.71E-04	2.19E-04	2.89E-04	2.12E-04
1:Ins:C:1	1.35E-04	1.33E-04	1.73E-04	1.75E-04	9.36E-05	2.28E-04	1.04E-04	2.17E-04	1.23E-04	1.33E-04	1.87E-04	1.16E-04
1:Ins:C:2	1.20E-04	1.23E-04	1.77E-04	1.89E-04	1.02E-04	1.85E-04	1.32E-04	2.15E-04	1.41E-04	1.24E-04	1.40E-04	1.46E-04
1:Ins:C:3	8.85E-05	1.04E-04	1.75E-04	1.63E-04	1.14E-04	1.29E-04	9.42E-05	2.02E-04	1.34E-04	1.35E-04	9.34E-05	1.05E-04
1:Ins:C:4	1.04E-04	1.05E-04	1.66E-04	1.92E-04	8.48E-05	1.83E-04	1.10E-04	1.87E-04	1.22E-04	9.30E-05	1.25E-04	1.13E-04
1:Ins:C:5	6.15E-04	5.22E-04	7.68E-04	9.05E-04	4.62E-04	8.33E-04	4.56E-04	8.31E-04	6.21E-04	5.03E-04	6.85E-04	6.58E-04
1:Ins:T:0	2.84E-04	3.28E-04	4.35E-04	4.46E-04	2.66E-04	5.25E-04	3.59E-04	5.63E-04	5.23E-04	3.42E-04	3.54E-04	3.49E-04
1:Ins:T:1	4.57E-04	4.22E-04	5.34E-04	5.83E-04	4.06E-04	8.00E-04	4.72E-04	7.68E-04	5.38E-04	4.87E-04	5.26E-04	4.27E-04
1:Ins:T:2	2.08E-04	2.66E-04	3.44E-04	4.06E-04	2.27E-04	3.76E-04	2.80E-04	4.24E-04	3.37E-04	3.06E-04	2.92E-04	2.69E-04
1:Ins:T:3	2.05E-04	2.36E-04	3.94E-04	3.48E-04	2.11E-04	4.47E-04	2.41E-04	4.40E-04	3.03E-04	2.50E-04	2.47E-04	2.77E-04
1:Ins:T:4	2.28E-04	2.24E-04	3.19E-04	4.04E-04	1.95E-04	4.38E-04	2.00E-04	3.77E-04	2.29E-04	2.39E-04	2.63E-04	3.25E-04
1:Ins:T:5	4.88E-03	4.81E-03	2.34E-03	3.54E-03	4.70E-03	2.66E-03	5.63E-03	6.03E-03	4.29E-03	5.41E-03	4.98E-03	5.22E-03
2:Del:R:0	1.59E-03	1.73E-03	4.87E-03	4.32E-03	1.78E-03	3.23E-03	2.02E-03	4.90E-03	4.19E-03	1.73E-03	3.22E-03	2.93E-03
2:Del:R:1	6.93E-05	7.98E-05	1.57E-04	1.44E-04	5.81E-05	1.63E-04	8.24E-05	1.40E-04	1.11E-04	7.95E-05	9.00E-05	8.45E-05
2:Del:R:2	2.77E-05	4.06E-05	5.78E-05	5.88E-05	2.35E-05	1.14E-04	2.90E-05	5.69E-05	3.21E-05	3.97E-05	4.55E-05	3.22E-05
2:Del:R:3	8.83E-06	7.05E-06	2.55E-05	2.20E-05	9.08E-06	1.57E-05	6.96E-06	2.71E-05	1.81E-05	8.59E-06	2.07E-05	1.39E-05
2:Del:R:4	6.34E-06	6.29E-06	1.48E-05	1.17E-05	5.31E-06	1.69E-05	4.83E-06	1.34E-05	7.50E-06	6.43E-06	8.25E-06	6.43E-06
2:Del:R:5	5.49E-05	5.64E-05	9.25E-05	1.44E-04	4.87E-05	6.85E-05	4.04E-05	9.60E-05	9.32E-05	4.41E-05	1.00E-04	7.26E-05
3:Del:R:0	3.61E-04	3.36E-04	5.87E-04	6.98E-04	3.13E-04	4.87E-04	3.83E-04	5.24E-04	5.81E-04	3.73E-04	4.24E-04	4.47E-04
3:Del:R:1	8.44E-05	7.13E-05	1.21E-04	1.49E-04	5.84E-05	1.24E-04	6.47E-05	1.46E-04	8.66E-05	9.09E-05	8.49E-05	9.54E-05
3:Del:R:2	2.02E-05	2.38E-05	3.01E-05	4.80E-05	1.94E-05	4.79E-05	2.39E-05	3.65E-05	2.48E-05	1.51E-05	2.40E-05	2.63E-05
3:Del:R:3	1.33E-09	1.64E-09	3.27E-09	3.38E-09	1.23E-09	2.53E-09	1.52E-09	2.94E-09	2.59E-09	1.04E-09	2.31E-09	1.73E-09
3:Del:R:4	7.06E-06	6.59E-06	1.04E-05	1.41E-05	6.50E-06	1.31E-05	5.38E-06	1.25E-05	8.50E-06	6.71E-06	1.32E-05	7.73E-06
