MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
CT>GA	2.4452447582204717e-07	3.654779561004789e-07	0.018037385479633742	0.0006963331749132685	0.0018805381724552365	0.0008939511091608741	0.005751013128213852	0.0013392381507431024	0.004307615486211823	3.526904314640181e-05	0.00028577213687168255	0.0005961228555875569
CT>GC	0.0003596256543455705	4.1766721814066377e-07	0.0044525000330212896	0.0008460482878865017	0.0017602894536817367	0.000831044519893286	0.0001330690358305333	0.00023196124221102357	0.0006067052122544104	0.000491870888069124	9.408780476995139e-05	0.0006286420507285137
CT>GG	0.00015519665532402293	2.993800848825083e-07	0.00012608078578825853	0.01339382329317771	0.00890105760772392	0.008823490255891858	0.0040804464201045386	0.009266324120668525	0.009426401390802546	0.002340043500563591	0.004343012207470311	0.01462986957285344
CT>TA	1.249806858830087e-07	1.4742854584974523e-07	0.013103010505984922	0.03712128053061069	0.007632486170518147	0.017734787403692037	0.019800657123587265	0.027101616215157356	0.01433188859614193	0.0035031686750460742	0.01286367426104256	0.0075234294817634545
CT>TC	0.0002622127343764726	2.2585018258812782e-07	0.009739981205125236	0.0348922208890624	0.02677584323741487	0.02049828411925952	0.010003005259863413	0.008124077979249378	0.022840804791250297	0.008572121883283525	0.011457043442313856	0.01628808589507217
CT>TG	0.0008060201494264741	3.372304130204641e-07	0.00897417259152169	0.011843179355453246	0.003929935432281439	0.006481413656133965	0.00032596773822402426	0.0057912180152967785	0.0037973159807593833	0.0054481039073697776	0.000922356663300077	0.0017774790031637143
GC>AA	0.00556045652107673	0.0043972155488043695	0.020858096112838155	0.016244392061344728	0.008009294431972933	0.014676825891419743	0.01766975503337963	0.0224262371947645	0.01274110091809461	0.3925527955406214	0.00953337942981127	0.013502213913860878
GC>AG	0.0002779819228074429	0.013648206819548309	0.008694047742310897	0.014523835476790668	0.015984290111664374	0.01989961813124419	0.018786736147770575	0.009973524571075799	0.027154147451428124	0.04060987140377341	0.022687872965988513	0.02926690336821345
GC>AT	8.339380307920953e-05	1.739054722163739e-07	0.008805374306180763	0.005306125048431305	0.006775118593064285	0.004883169435536539	0.045661944609754215	0.008864236479826869	0.019405517921688157	0.03327992024501983	0.0017965298454709368	0.004290187625207054
GC>CA	9.206355464167496e-05	0.009527371773697953	0.004707379632956489	0.011812794412399963	0.00429935006876034	0.010088325476126904	0.012075109058910898	0.014286626592506348	0.012888208080424261	0.005563338881522464	0.0063825501068324976	0.010579007271341883
GC>CG	1.3206740345211467e-06	4.435260064776992e-07	5.007378944003949e-07	3.5429105650709272e-06	5.586185164913059e-06	4.075016507152672e-06	7.417918811707051e-06	6.500691871386605e-06	9.684297227340526e-06	1.2031894693827802e-05	8.981277235349274e-06	8.67587913548832e-06
GC>TA	8.152666362661869e-08	0.004474125927197142	0.004605958497510628	0.006831990584110553	0.0015709407705242566	0.006783560628301706	0.0014405438430353905	0.012380217010939401	0.007538402158549736	0.02406136979762797	0.0023688393538521383	0.0033638004243349232
TA>AT	0.0002324769583338081	0.004310491388167538	1.7248033865349931e-07	0.00839605855529836	0.010830049490955276	0.008153473966650861	0.024180849068785575	0.005028472394217871	0.01495838259656942	0.00951698875676782	0.010556794290446415	0.009549417120256403
