Iteration	L1	L1 %	L2	L2 %	KL Divergence
336	166.729	15.994	60.151	10.671	0.054
337	158.421	15.218	56.18	10.038	0.05
338	160.306	15.847	56.484	10.698	0.055
339	161.202	15.717	56.571	10.559	0.054
340	158.527	15.418	55.047	10.221	0.053
341	157.768	15.403	54.993	10.281	0.053
342	159.263	15.577	55.789	10.408	0.053
343	155.921	15.187	54.724	10.077	0.053
344	157.591	15.15	54.261	9.768	0.053
345	157.396	15.454	54.618	10.314	0.054
346	161.105	15.667	58.846	10.641	0.051
347	161.948	15.652	56.974	10.441	0.054
348	159.132	15.39	55.18	10.084	0.052
349	158.081	15.169	55.566	10.007	0.05
350	156.131	15.09	54.349	9.914	0.052
351	161.555	15.599	57.906	10.487	0.052
352	162.691	15.575	58.075	10.309	0.053
353	153.984	15.052	53.222	9.869	0.052
354	155.684	15.111	54.997	10.022	0.051
355	160.544	15.375	55.942	10.031	0.052
356	162.099	15.731	56.507	10.448	0.053
357	163.119	15.842	58.318	10.644	0.054
358	154.45	15.165	53.578	10.174	0.053
359	161.569	15.61	56.426	10.449	0.054
360	157.563	15.281	54.863	10.154	0.053
361	157.067	15.145	54.221	9.85	0.052
362	159.387	15.397	56.329	10.145	0.052
363	156.676	15.242	54.226	9.932	0.052
364	155.53	15.12	54.66	10.071	0.052
365	162.357	15.672	58.21	10.524	0.054
366	168.448	16.032	59.985	10.61	0.053
367	158.99	15.456	56.565	10.372	0.053
368	158.339	15.225	56.897	10.271	0.051
369	161.429	15.492	57.086	10.191	0.053
370	159.274	15.431	55.933	10.262	0.052
371	155.856	14.785	54.949	9.635	0.05
372	163.761	16.04	59.502	10.989	0.054
373	157.569	15.291	55.666	10.216	0.053
374	163.457	15.819	57.523	10.498	0.055
375	159.191	15.399	56.551	10.326	0.052
376	161.288	15.198	56.872	9.9	0.05
377	155.896	15.149	55.3	10.019	0.052
378	152.067	14.759	52.835	9.811	0.05
379	159.852	15.644	56.221	10.575	0.053
380	161.155	15.668	57.456	10.472	0.054
381	153.812	14.844	52.951	9.705	0.052
382	158.644	15.495	55.109	10.318	0.053
383	157.311	15.271	54.276	10.141	0.051
384	159.154	15.514	55.225	10.343	0.054
385	151.888	14.642	53.484	9.711	0.048
386	166.769	16.13	58.066	10.789	0.055
387	161.531	15.744	56.622	10.554	0.054
388	153.174	15.023	53.684	10.035	0.053
389	163.056	15.51	58.574	10.305	0.051
390	159.893	15.345	55.57	10.054	0.053
391	158.497	15.246	55.757	10.073	0.053
392	158.142	15.544	54.936	10.279	0.053
393	163.372	15.942	58.78	10.8	0.055
394	157.249	15.221	54.546	9.985	0.052
395	153.371	14.998	53.708	10.006	0.051
396	156.791	15.112	55.307	9.941	0.052
397	159.389	15.286	56.454	10.246	0.05
398	158.815	15.355	55.259	10.015	0.052
399	154.89	15.24	53.992	10.19	0.053
400	158.047	15.444	55.106	10.238	0.053
401	156.36	15.115	54.874	9.944	0.051
402	159.374	15.483	55.992	10.284	0.053
403	166.017	15.963	58.624	10.666	0.052
404	156.07	15.342	54.96	10.286	0.053
405	156.87	15.324	55.381	10.2	0.052
406	153.969	14.911	52.193	9.635	0.053
407	153.512	14.904	52.631	9.715	0.051
408	155.447	15.145	54.629	10.141	0.053
409	158.958	15.48	55.672	10.293	0.052
410	154.233	14.896	53.056	9.665	0.05
411	167.07	16.322	59.946	11.122	0.057
412	150.95	14.816	51.199	9.735	0.051
413	157.854	15.29	55.32	10.271	0.052
414	151.184	14.835	53.114	10.0	0.051
415	159.697	15.476	56.169	10.175	0.052
416	159.25	15.515	57.655	10.623	0.052
417	161.177	15.746	56.288	10.484	0.054
418	160.703	15.43	56.871	10.196	0.052
419	161.824	15.786	57.542	10.618	0.053
420	159.836	15.616	56.66	10.549	0.053
421	159.556	15.543	56.773	10.541	0.053
422	160.187	15.435	56.446	10.265	0.051
423	164.434	15.879	58.896	10.62	0.052
424	161.065	15.592	57.06	10.346	0.052
425	156.209	15.084	54.516	10.016	0.048
426	162.757	15.649	56.951	10.263	0.054
427	160.355	15.45	56.985	10.445	0.054
428	165.366	16.19	59.364	11.11	0.055
429	162.114	15.866	57.313	10.72	0.053
430	163.172	15.784	59.292	10.753	0.052
431	157.519	15.223	54.674	9.935	0.051
432	155.707	15.074	53.453	9.707	0.053
433	162.44	15.566	56.938	10.283	0.052
434	166.358	15.985	59.284	10.727	0.053
435	163.35	15.818	57.146	10.411	0.055
436	170.434	16.446	61.729	11.1	0.056
437	157.231	15.284	55.454	10.226	0.052
438	161.74	15.802	57.443	10.67	0.054
439	156.988	15.403	54.632	10.334	0.054
440	170.864	16.385	61.095	10.973	0.055
441	162.033	15.519	56.958	10.204	0.052
442	159.569	15.675	56.172	10.658	0.054
443	165.076	15.91	60.115	10.757	0.052
444	159.991	15.314	56.732	10.137	0.051
445	166.317	15.957	59.481	10.752	0.054
446	159.391	15.41	56.639	10.226	0.052
447	156.768	15.191	55.258	10.082	0.05
448	159.465	15.393	55.53	10.038	0.053
449	160.096	15.523	55.761	10.093	0.053
450	159.716	15.546	56.973	10.49	0.053
451	164.942	15.924	60.951	10.989	0.052
452	165.403	15.928	59.215	10.791	0.053
453	162.92	15.656	58.613	10.514	0.051
454	160.458	15.62	56.971	10.449	0.052
455	156.809	15.176	55.724	10.087	0.051
456	148.956	14.534	50.638	9.385	0.05
457	156.731	15.143	54.23	9.88	0.052
458	161.783	15.498	55.85	10.246	0.053
459	159.592	15.594	55.957	10.339	0.054
460	158.239	15.375	55.347	10.185	0.052
461	160.344	15.402	56.616	10.233	0.052
462	163.164	15.728	56.812	10.36	0.054
463	161.292	15.653	55.777	10.33	0.054
464	157.194	15.195	54.151	9.855	0.052
465	159.319	15.414	56.07	10.273	0.053
466	155.944	15.191	53.499	9.866	0.052
467	151.977	14.692	53.707	9.747	0.049
468	155.229	14.861	52.307	9.436	0.051
469	155.331	14.972	54.137	9.949	0.052
470	156.16	15.391	55.529	10.455	0.052
471	156.534	15.224	54.175	10.098	0.052
472	157.789	15.341	55.471	10.191	0.052
473	166.649	15.791	58.677	10.249	0.052
474	161.414	15.596	57.414	10.299	0.052
475	157.131	15.453	54.146	10.178	0.053
476	158.093	15.214	53.827	9.717	0.052
477	162.511	15.467	57.18	10.17	0.052
478	159.789	15.522	55.699	10.209	0.053
479	157.343	15.352	56.309	10.412	0.052
480	154.83	14.828	53.725	9.733	0.052
481	164.167	16.043	58.147	10.834	0.054
482	157.071	15.289	53.983	9.941	0.054
483	160.975	15.688	56.697	10.443	0.053
484	160.003	15.512	57.088	10.471	0.052
485	163.924	15.76	58.857	10.533	0.053
486	165.191	15.889	59.434	10.628	0.053
487	163.399	15.535	58.852	10.399	0.051
488	159.244	15.235	55.538	9.948	0.053
489	161.571	15.518	57.013	10.219	0.054
490	157.421	15.289	55.283	10.121	0.052
491	161.918	15.787	56.73	10.532	0.055
492	156.579	15.384	54.963	10.346	0.052
493	152.249	14.792	53.122	9.753	0.051
494	158.25	15.438	55.591	10.247	0.053
495	159.247	15.453	55.103	10.126	0.053
496	163.911	15.911	57.911	10.481	0.055
497	155.383	15.085	54.296	9.933	0.051
498	164.729	16.083	59.475	11.066	0.055
499	157.439	15.175	54.019	9.778	0.052
500	158.285	15.387	56.14	10.206	0.052
501	160.254	15.469	56.335	10.293	0.052
502	160.391	15.437	55.543	10.041	0.053
503	162.92	15.924	57.928	10.81	0.054
504	155.877	15.317	54.19	10.286	0.052
505	156.406	15.166	55.687	10.073	0.051
506	159.523	15.379	56.548	10.241	0.051
507	165.263	15.854	59.199	10.578	0.053
508	155.176	14.976	54.371	9.862	0.052
509	158.033	15.494	54.682	10.163	0.055
